name,username,followers_count,listed_count,following,favorites,verified,default_profile,location,time_zone,statuses_count,description,geo_enabled,contributors_enabled,tweet_in_reply_to_id,tweet_time,tweet_text,tweet_lat,tweet_long,tweet_source,tweet_in_reply_to_screen_name,tweet_direct_reply,tweet_retweet_status,tweet_retweet_count,tweet_favorite_count,tweet_hashtags,tweet_hashtags_count,tweet_urls,tweet_urls_count,tweet_user_mentions,tweet_user_mentions_count,tweet_media_type,tweet_contributors
Rachel Kwasniak,rachelkwasniak3,4,0,17,12,FALSE,TRUE,"New Jersey, USA Missouri ",,45,"Creator of Lil Marie Beauty. Organic, gender neutral line. Monat partner. Mom to 3. Just different. Helping humans regain confidence. 1 head at a time.",FALSE,FALSE,,12/10/2017 3:20,@realDonaldTrump it would be an honor to have you help support my entrepreneurship! #monat #haircare #smallbuisness #Mompreneur,,,Twitter for Android,realDonaldTrump,TRUE,FALSE,0,0,"monat, haircare, smallbuisness, Mompreneur",4,,0,realDonaldTrump,1,,
2 Woke Moms,2wokemoms,95,3,208,1075,FALSE,TRUE,Cascadia,,1256,Don't piss off the moms.,FALSE,FALSE,939634404267380000,12/10/2017 3:20,@realDonaldTrump @daveweigel It was pretty full of white people in elastic waisted pants.,,,Twitter for iPhone,realDonaldTrump,TRUE,FALSE,0,1,,0,,0,"realDonaldTrump, daveweigel",2,,
Brett Jesse,DamnYankee_,278,13,1795,2404,FALSE,TRUE,"Backasswards Alabama, USA",,2085,"I decide to visit, they call me a Yankee. I decide to stay, they call me a Damn Yankee... #RESIST #Indivisible #Snowflake #AntiTrump #Resistance",TRUE,FALSE,939642796289470000,12/10/2017 3:20,@realDonaldTrump Must be a shit-spewing trophy this year.,,,Twitter for Android,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,realDonaldTrump,1,,
Kon,Frater_Mythos,290,3,827,402,FALSE,TRUE,Hong Kong,Pacific Time (US & Canada),896,A life made by Magick.,TRUE,FALSE,939680422493073000,12/10/2017 3:20,"@realDonaldTrump Jacob, your obviously an inbred, brain-dead moron brainwashed (as much as one brain-dead can be)... https://t.co/Osn7DZ1Ptc",,,Twitter for Android,realDonaldTrump,TRUE,FALSE,0,0,,0,https://t.co/Osn7DZ1Ptc,1,realDonaldTrump,1,,
Susan,susanleslie120,60,0,30,4019,FALSE,TRUE,,Pacific Time (US & Canada),623,,FALSE,FALSE,939634404267380000,12/10/2017 3:20,"@realDonaldTrump @daveweigel Omg, go spend time with your son.",,,Twitter for Android,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,"realDonaldTrump, daveweigel",2,,
Yuri Puppet,Yuri_Puppet,12,0,128,676,FALSE,TRUE,,,221,Not a puppet. Yuri Puppet!,FALSE,FALSE,939616077356642000,12/10/2017 3:20,@realDonaldTrump @daveweigel @washingtonpost Haha. You have a little dick and it drives you nuts that you can't blame the media!,,,Twitter for Android,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,"realDonaldTrump, daveweigel, washingtonpost",3,,
Dave Doyle,DDoylenv,49,2,106,1680,FALSE,TRUE,"Ithaca, NY",,1075,St. Bonaventure grad with an interest in making the world a better place. The era of strategic patience is gone.  It?€?s time to act.,FALSE,FALSE,939680422493073000,12/10/2017 3:20,@realDonaldTrump Did am more concerned about crazy uneducated Nazis than anything else in this country.,,,Twitter for iPad,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,realDonaldTrump,1,,
Carolina,Carolinabbfan,62,1,120,2476,FALSE,TRUE,"Queens, NY",,2096,"Tweeting all things big brother, other tv shows and some politics. #simplekindoflife #BB10 #BB07 #TeamDan, #TeamWill #TeamPaul #Dominican #Profacts #Prochoice",FALSE,FALSE,939485131693322000,12/10/2017 3:20,"@realDonaldTrump WOW you are a marketing genius...look at all those caps, must be true, right? In fact, I'm convin... https://t.co/NG65IOZbWK",,,Twitter Web Client,realDonaldTrump,TRUE,FALSE,0,0,,0,https://t.co/NG65IOZbWK,1,realDonaldTrump,1,,
Patricia Torchia,pattylee616,6,0,26,3,FALSE,TRUE,,,754,,FALSE,FALSE,939485131693322000,12/10/2017 3:20,@realDonaldTrump And yours should be DONALD J. TRUMP the least trusted man in the world.,,,Twitter for iPad,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,realDonaldTrump,1,,
Joey Muir,JoeyMuir24,385,3,588,1588,FALSE,TRUE,,,7370,Dad to Mitchell and Isla Muir. ???????????? @TheUCS #TheMiracleOfPetershill,TRUE,FALSE,939680422493073000,12/10/2017 3:20,@realDonaldTrump You're a retard mate,,,Twitter for iPhone,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,realDonaldTrump,1,,
Bombular,nefaramos,33,1,64,450,FALSE,TRUE,,,1825,,FALSE,FALSE,939485131693322000,12/10/2017 3:20,@realDonaldTrump Sick burn bro https://t.co/m0KuwiMMwM,,,Twitter for iPhone,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,realDonaldTrump,1,photo,
Bwmaloney,LilBwmaloney,56,6,543,5128,FALSE,TRUE,"Houston, TX",,13130,Politics Science Science & Technology Technology & Science Weird Photography Rock/Alt Design & Architecture Classic Rock General News Government & Politics Art,FALSE,FALSE,939480342779580000,12/10/2017 3:20,@realDonaldTrump @CNN I trust CNN. It is you that no one trust,,,Twitter for iPhone,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,"realDonaldTrump, CNN",2,,
Diane Cheeks,DianeCheeks,32,0,291,2601,FALSE,TRUE,"Summerfield, FL",,1116,,FALSE,FALSE,939485131693322000,12/10/2017 3:20,@realDonaldTrump You are the least trusted president EVER!  RESIGN BEFORE YOU ARE IMPEACHED!,,,Twitter for Android,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,realDonaldTrump,1,,
Bwmaloney,LilBwmaloney,56,6,543,5128,FALSE,TRUE,"Houston, TX",,13130,Politics Science Science & Technology Technology & Science Weird Photography Rock/Alt Design & Architecture Classic Rock General News Government & Politics Art,FALSE,FALSE,939475127552618000,12/10/2017 3:20,@realDonaldTrump We saw the pictures. The place was not even close to being packed.,,,Twitter for iPhone,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,realDonaldTrump,1,,
Clark Scott,donaldisatool,3,0,49,669,FALSE,TRUE,,,1714,"Husband, father and proud American.",FALSE,FALSE,939634404267380000,12/10/2017 3:20,@realDonaldTrump @daveweigel You should be fired for being Putin's bitch,,,Twitter for iPhone,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,"realDonaldTrump, daveweigel",2,,
michelle shough,MichelleShough,17,0,49,1860,FALSE,TRUE,,,343,"Pissed off Mom and Nana, we have a ????for a President!",FALSE,FALSE,939634404267380000,12/10/2017 3:20,@realDonaldTrump @daveweigel U are the fake!    I knew I only had to wait for the pic of your so called huge crowd.... https://t.co/n3tqjgHtdB,,,Twitter for iPhone,realDonaldTrump,TRUE,FALSE,0,0,,0,https://t.co/n3tqjgHtdB,1,"realDonaldTrump, daveweigel",2,,
Jandy,jandysweet1485,8,0,67,254,FALSE,TRUE,,,143,,FALSE,FALSE,939616077356642000,12/10/2017 3:20,@realDonaldTrump @daveweigel @washingtonpost God!! Ur such a loser..why are u some obsess with size?? Is your penis that small,,,Twitter for Android,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,"realDonaldTrump, daveweigel, washingtonpost",3,,
chrispixie,gmapixhie,51,0,91,3240,FALSE,TRUE,,,4480,"Just Chris. dreams of trump's impeachment, campaigned for Shirley Chisholm so I am a feminist democrat. hates fatalistic tweets & whining",FALSE,FALSE,939680422493073000,12/10/2017 3:20,@realDonaldTrump We have not seen flag &amp; effigy burning scenes from the Middle East in years,,,Twitter for iPhone,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,realDonaldTrump,1,,
karin gullberg,svensktjej1,3,0,33,114,FALSE,TRUE,,,132,,FALSE,FALSE,939616077356642000,12/10/2017 3:20,"@realDonaldTrump @daveweigel @washingtonpost Well, yes those picture were not accurate.  You had more people.  Howe... https://t.co/2gY7TFSbho",,,Twitter Web Client,realDonaldTrump,TRUE,FALSE,0,0,,0,https://t.co/2gY7TFSbho,1,"realDonaldTrump, daveweigel, washingtonpost",3,,
Pete Williams,pete51754,75,1,545,1372,FALSE,TRUE,"Austin, Texas",,2369,"News, History, Politics,  Science & Technology, Music",FALSE,FALSE,939680422493073000,12/10/2017 3:20,@realDonaldTrump Criminal Aliens https://t.co/n4Eif1MFok,,,Twitter for Android,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,realDonaldTrump,1,photo,
Marsh Shumaker,bingbob13,2,0,6,43,FALSE,TRUE,,,59,,FALSE,FALSE,939680422493073000,12/10/2017 3:20,@realDonaldTrump So true Mr. President.,,,Twitter for Android,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,realDonaldTrump,1,,
jeanie????,njjeane31,224,0,241,30170,FALSE,TRUE,,,5172,,FALSE,FALSE,939375570919612000,12/10/2017 3:20,"@realDonaldTrump You're a psycho the way you capitalize ""NATION UNDER GOD"" obvious hypocrite. You're no man of God.",,,Twitter for iPhone,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,realDonaldTrump,1,,
Constitution Bot,constitutionB0t,38,5,5,0,FALSE,TRUE,,,183656,,FALSE,FALSE,,12/10/2017 3:20,"@realDonaldTrump 1. No person shall be elected to the office of the President more than twice,",,,TTYtter,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,realDonaldTrump,1,,
leah brick,evilrabbitat,9,0,32,685,FALSE,TRUE,,,123,"living in a fake materialistic world while being real, true and natural with a overactive perspective",FALSE,FALSE,939634404267380000,12/10/2017 3:20,@realDonaldTrump @daveweigel I concur with you that liars should be fired and held accountable!!!,,,Twitter for Android,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,"realDonaldTrump, daveweigel",2,,
Cynth,CyntBake,92,8,257,2620,FALSE,TRUE,"Albuquerque, NM",,2498,Freelance Writer - Truth Seeker - Political News Junkie - Second Hand Flipologist - Espresso Aficionado,FALSE,FALSE,939634404267380000,12/10/2017 3:20,@realDonaldTrump @daveweigel (1) @daveweigel made a minor mistake. So what. We don't care how many brainwashed Faux... https://t.co/IQKVwaLrCA,,,Twitter Web Client,realDonaldTrump,TRUE,FALSE,0,0,,0,https://t.co/IQKVwaLrCA,1,"realDonaldTrump, daveweigel, daveweigel",3,,
Jabreakit Jabawtit,HolyShtANinja,124,13,259,1704,FALSE,FALSE,,Central Time (US & Canada),5282,Literal vampire potbelly goblin. Member of The People's Front of Judea. Boats and hoes.,FALSE,FALSE,939616077356642000,12/10/2017 3:20,"@realDonaldTrump @daveweigel @washingtonpost Did he hurt your fee-fees, little snowflake? Awwww, maybe it's time fo... https://t.co/tzhj1eYqfP",,,Twitter for iPhone,realDonaldTrump,TRUE,FALSE,0,0,,0,https://t.co/tzhj1eYqfP,1,"realDonaldTrump, daveweigel, washingtonpost",3,,
Midwest Momma E,MidwestMomma,49,0,102,2327,FALSE,TRUE,"Jefferson City, MO",,165,DIY & Home Art Fitness & Wellness Food Health Politics Parenting Fun,FALSE,FALSE,939634404267380000,12/10/2017 3:20,"@realDonaldTrump @daveweigel Donald, President Trump...I certainly pointed that out to him!![?]  Keep fighting!![?]",,,Twitter for iPad,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,"realDonaldTrump, daveweigel",2,,
????????????????ptrckwhite????????????????,patrickwhite65,158,1,204,2423,FALSE,FALSE,"Martinez, CA",,641,"If the needle wasn't bent so far to the left, then we wouldn't have had to bend it so far to the RIGHT....... #MAGA #TRUMP",FALSE,FALSE,939680422493073000,12/10/2017 3:20,@realDonaldTrump  https://t.co/ZXCDkzYp2y,,,Twitter for Android,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,realDonaldTrump,1,photo,
D. Ron Hubbard,SportsToStick,276,1,1199,2063,FALSE,FALSE,"Washington, DC",Eastern Time (US & Canada),14325,I wanna meet your dog.,TRUE,FALSE,939616077356642000,12/10/2017 3:20,@realDonaldTrump @daveweigel @washingtonpost you should grab his pussy,,,Twitter for Android,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,"realDonaldTrump, daveweigel, washingtonpost",3,,
Scott Corcoran,Sakul127,15,2,218,147,FALSE,FALSE,"Federal Way, WA",,704,I am trying to raise money for Seattle Children's Hospital's Uncompensated Care Fund. Please Donate.   https://t.co/AJAglcQ2XT,FALSE,FALSE,939634404267380000,12/10/2017 3:20,@realDonaldTrump @daveweigel However when you post racist fake propaganda from extreme right wing groups where is your apology?,,,Twitter Web Client,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,"realDonaldTrump, daveweigel",2,,
LGBT Equality,Dyke67ny,8850,62,6126,22191,FALSE,FALSE,USA (Under djt/gop Occupation),Eastern Time (US & Canada),28008,"#LGBT, #disABLED #Activist, #Democrat, U.S. Civil War #Historian, Love #Cats, Pro #Photographer, Fmr LEO & #EMT. No Dumpf! List=BLOCK! #Resist #TheResistance",TRUE,FALSE,939680422493073000,12/10/2017 3:20,@realDonaldTrump How are your #DonaldDentures holding up?,,,Twitter for Android,realDonaldTrump,TRUE,FALSE,0,0,DonaldDentures,1,,0,realDonaldTrump,1,,
Eulah,eulah,96,4,68,179,FALSE,FALSE,,Eastern Time (US & Canada),1739,American citizen,FALSE,FALSE,939485131693322000,12/10/2017 3:20,"@realDonaldTrump Honestly, you are an idiot.",,,Twitter for iPhone,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,realDonaldTrump,1,,
Atthe Beach,atthebeach9,230,9,514,22491,FALSE,FALSE,Sunshine State,Eastern Time (US & Canada),10622,American patriot. Photos by French photographer Leo Caillard in 2012 series called ?€?Miami Houses?€?.,FALSE,FALSE,939680422493073000,12/10/2017 3:20,@realDonaldTrump We are unafraid,,,Twitter for iPad,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,realDonaldTrump,1,,
Stacey Muro,StaceyMuro1,42,0,87,4029,FALSE,TRUE,"Desert Hot Springs, CA",,413,,FALSE,FALSE,939680422493073000,12/10/2017 3:20,@realDonaldTrump Go to bed toddler. It's past your bedtime. Us adults need adult time right now.,,,Twitter for iPhone,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,realDonaldTrump,1,,
karenza t. wall,karenza_t,112,15,47,726,FALSE,FALSE,"vancouver, b.c., canada",Hawaii,8841,member of endangered species,TRUE,FALSE,939634404267380000,12/10/2017 3:20,@realDonaldTrump @daveweigel and you should be fired maddog donald trump - and you will be kicked out for your crim... https://t.co/8vYthZgmJD,,,Twitter Web Client,realDonaldTrump,TRUE,FALSE,0,0,,0,https://t.co/8vYthZgmJD,1,"realDonaldTrump, daveweigel",2,,
Brandon Adams,rashad1843622,63,0,421,709,FALSE,TRUE,,,489,,TRUE,FALSE,939680422493073000,12/10/2017 3:20,@realDonaldTrump You need to fix yourself you dumb shit https://t.co/XDuHHmb1cO,,,Twitter for iPhone,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,realDonaldTrump,1,photo,
tobytob2014,caesarman2012,210,4,217,7763,FALSE,FALSE,,Pacific Time (US & Canada),13105,Register Nurse.  Love my country. Love Pres Trump for what he stands for (American People ).Christian. Southern Belle. Mother/ Grandmother,FALSE,FALSE,939560154269405000,12/10/2017 3:20,@realDonaldTrump We love you Pres Trump. U are welcome to the South by many  many many supporters. May God Bless You and your family,,,Twitter for Android,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,realDonaldTrump,1,,
Jaime Innominato,jniel84,8,0,7,108,FALSE,TRUE,,,49,,FALSE,FALSE,939680422493073000,12/10/2017 3:20,@realDonaldTrump Americans first! Keep the services for Americans. If the government stopped supporting people who... https://t.co/VKOLV8ZZHs,,,Twitter for iPhone,realDonaldTrump,TRUE,FALSE,0,0,,0,https://t.co/VKOLV8ZZHs,1,realDonaldTrump,1,,
Ruth Lewis,RuthWV65,24,0,34,2310,FALSE,FALSE,"Kentucky,U.S.A.",Eastern Time (US & Canada),1053,"Coffee Junkie, Wife, Mother,Grandmother, Great-Grandmother and I Love It!!",TRUE,FALSE,939680422493073000,12/10/2017 3:20,@realDonaldTrump https://t.co/c1C9zkV8aF,,,Twitter Web Client,realDonaldTrump,TRUE,FALSE,0,0,,0,https://t.co/c1C9zkV8aF,1,realDonaldTrump,1,,
UnicornStabs,unicornstabs,106,1,478,767,FALSE,FALSE,Narnia or some shit,Pacific Time (US & Canada),2434,I only came here to be a troll and now I'm part of the #Resistance. ???? ???,FALSE,FALSE,939616077356642000,12/10/2017 3:20,@realDonaldTrump @daveweigel @washingtonpost Or you could just accept that fact that an overwhelming majority of pe... https://t.co/HMO5aYv3OW,,,Twitter Web Client,realDonaldTrump,TRUE,FALSE,0,0,,0,https://t.co/HMO5aYv3OW,1,"realDonaldTrump, daveweigel, washingtonpost",3,,
Andrew Schreiber,drewmeister0,26,0,107,93,FALSE,TRUE,,,171,,FALSE,FALSE,939642796289470000,12/10/2017 3:20,@realDonaldTrump  https://t.co/0aSakZRR2U,,,Twitter for Android,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,realDonaldTrump,1,photo,
Donny Watson,donwatson2002,9,0,42,0,FALSE,FALSE,US,Alaska,47,"Top rated chess player, loving dad.",FALSE,FALSE,,12/10/2017 3:20,"@realDonaldTrump hey donald chump, if you""re having trouble keeping those false teeth in, I suggest using gorilla glue or staples!",,,Twitter Web Client,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,realDonaldTrump,1,,
Gallager O'reilly,Gopo_Pogo,97,3,273,3270,FALSE,TRUE,"Hamilton, MT",,5777,import/export Russian hooker urine for Trump enterprises. Safe buddy for Eric trump,TRUE,FALSE,939634404267380000,12/10/2017 3:20,@realDonaldTrump @daveweigel  https://t.co/yutUCi8t1q,,,Twitter for iPhone,realDonaldTrump,TRUE,FALSE,0,0,,0,,0,"realDonaldTrump, daveweigel",2,photo,
