name,username,followers_count,listed_count,following,favorites,verified,default_profile,location,time_zone,statuses_count,description,geo_enabled,contributors_enabled,tweet_id,tweet_time,tweet_text,tweet_lat,tweet_long,tweet_source,tweet_in_reply_to_screen_name,tweet_direct_reply,tweet_retweet_status,tweet_retweet_count,tweet_favorite_count,tweet_hashtags,tweet_hashtags_count,tweet_urls,tweet_urls_count,tweet_user_mentions,tweet_user_mentions_count,tweet_media_type,tweet_contributors
Will Gibson,IAmWillGibson,11,0,25,29,False,True,,,638,,False,False,939849867438034944,2017-12-10 13:35:26,@realDonaldTrump I have never seen a thin person drink Diet Coke.,,,Twitter Lite,realDonaldTrump,True,False,0,0,,0,,0,realDonaldTrump,1,,
Danny Darryl Yates,Danofva60,1,0,73,287,False,True,,,9,,False,False,939849867438034944,2017-12-10 13:35:25,@realDonaldTrump Thanks Obama!!!,,,Twitter for Android,realDonaldTrump,True,False,0,0,,0,,0,realDonaldTrump,1,,
Brenda McDonnell,BrendaMcDonnel2,5,0,59,74,False,True,,,17,,False,False,939849867438034944,2017-12-10 13:35:25,@realDonaldTrump Just keep repeating yourself.,,,Twitter for Android,realDonaldTrump,True,False,0,0,,0,,0,realDonaldTrump,1,,
Hugo Teerds,HugoTeerds,287,11,468,447,False,False,"Lelystad, The Netherlands",Amsterdam,9487,"Is: schrijver en student. Was: chemicus, brandweerofficier en politicus. Doet ook: coaching. Zoekt de mens en zijn motivatie. Geschiedenisgek.",False,False,939849867438034944,2017-12-10 13:35:25,@realDonaldTrump That is because they are looking to the underlying figures and processes and they get really conce... https://t.co/Cn28Pg0McC,,,Twitter for iPad,realDonaldTrump,True,False,0,0,,0,https://t.co/Cn28Pg0McC,1,realDonaldTrump,1,,
David States,DavidStates6,27,0,81,263,False,True,"Austin, TX.  ",,946,America- observer of the Human Condition???? #Resist,False,False,,2017-12-10 13:35:24,@realDonaldTrump @VP @CNN @washingtonpost @NBCNews @HillaryClinton @Tina12312 @RealPA_Resister @deedeemarz... https://t.co/YxWyz6rPLl,,,Twitter for iPhone,realDonaldTrump,True,False,1,3,,0,https://t.co/YxWyz6rPLl,1,"realDonaldTrump, VP, CNN, washingtonpost, NBCNews, HillaryClinton, Tina12312, RealPA_Resister, deedeemarz",9,,
you_wish,miro_emir,179,4,219,4518,False,True,,,9030,,True,False,939680422493073408,2017-12-10 13:35:24,"@realDonaldTrump Unproven accusations,outrageous statements and blatantly diminishing US law enforcements and our j... https://t.co/kqr7qhMf8t",,,Twitter for iPhone,realDonaldTrump,True,False,0,0,,0,https://t.co/kqr7qhMf8t,1,realDonaldTrump,1,,
IMPEACH NOW 🇺🇸🇺🇸🇺🇸🇺🇸,devdev324,1151,51,1501,26222,False,False,New York,,30692,#TheResistance if you love jesus but voted trump block me. blocked by #SeanHannity,False,False,939634404267380736,2017-12-10 13:35:24,@realDonaldTrump @daveweigel  https://t.co/PjLPZCEsKV,,,Twitter Web Client,realDonaldTrump,True,False,0,0,,0,,0,"realDonaldTrump, daveweigel",2,photo,
Aaron Broome,aaronski_twitt,20148,13,671,618,False,False,North West England.,London,7150,"Anti-war, injustice, suffering & racism. We live in a truly beautiful World & we should look after her better than we do.",True,False,939849867438034944,2017-12-10 13:35:24,@realDonaldTrump Dickhead.,,,Twitter Web Client,realDonaldTrump,True,False,0,0,,0,,0,realDonaldTrump,1,,
Alisha,_lisha_love,487,2,48,15378,False,False,FL,Pacific Time (US & Canada),15571,"Business major, hard worker, proud American.

Rock n Roll is my religion.",False,False,939849867438034944,2017-12-10 13:35:24,@realDonaldTrump Thank you for doing all of what you have.,,,Twitter for Android,realDonaldTrump,True,False,0,0,,0,,0,realDonaldTrump,1,,
Manny Walker,Manny_Insanity,542,22,1845,16644,False,True,"Cincinnati, OH",,11940,"Business writer and fiction writer.  Proud Graduate of the University of Cincinnati

Cincinnati sports fan and Houston Rockets fan",False,False,939849867438034944,2017-12-10 13:35:24,@realDonaldTrump https://t.co/SugxiIi4cA,,,Twitter for Android,realDonaldTrump,True,False,0,0,,0,https://t.co/SugxiIi4cA,1,realDonaldTrump,1,,
Carole Jordan,CaroleJordan15,31,0,119,1300,False,True,,,489,"Disco queen, tootsie pop",False,False,939477807813595136,2017-12-10 13:30:44,@realDonaldTrump Do you even read this crap before you post it?,,,Twitter for Android,realDonaldTrump,True,False,0,0,,0,,0,realDonaldTrump,1,,
Katy™,writualz,62,0,186,1409,False,True,hellbent,,744,here for brains not boys // beekeeper 🐝 // plant mom 👩🏻‍🌾 // activist ☀️ // EU ‘20 ✨,False,False,,2017-12-10 13:30:44,@realDonaldTrump my mom has a solution for your chronic problem https://t.co/kW9dV2G4TK,,,Twitter for iPhone,realDonaldTrump,True,False,0,0,,0,https://t.co/kW9dV2G4TK,1,realDonaldTrump,1,,
A Hugh Jayniss,a_jayniss,5,0,54,159,False,True,,,1650,,False,False,939634404267380736,2017-12-10 13:30:44,@realDonaldTrump @daveweigel The president cannot interfere in private company's personnel decisions. We should dem... https://t.co/gEIkFfOXcn,,,Twitter Web Client,realDonaldTrump,True,False,0,0,,0,https://t.co/gEIkFfOXcn,1,"realDonaldTrump, daveweigel",2,,
Stabby The Clown,StabbyClown,23,0,226,209,False,True,"Wisconsin, USA",,215,Touch me I'm sick.,False,False,939634404267380736,2017-12-10 13:30:44,"@realDonaldTrump @daveweigel You re-tweeted anti Muslim videos. Your approval rating is 32% Generally speaking, you... https://t.co/ZaoaEbaYK5",,,Twitter for Android,realDonaldTrump,True,False,0,0,,0,https://t.co/ZaoaEbaYK5,1,"realDonaldTrump, daveweigel",2,,
Jeremy Krajicek,JeremyKrajicek,5,0,31,309,False,True,"Omaha, NE",,240,Just a normal guy trying to figure out what the hell is going on with our great country. Dump the Trump!!!!!,False,False,,2017-12-10 13:30:42,"@realDonaldTrump @MooreSenate - so @FoxNews  is now faking it too, huh. Where is the outrage and calls for firing t... https://t.co/J6ZDWjydlN",,,Twitter for iPhone,realDonaldTrump,True,False,1,1,,0,https://t.co/J6ZDWjydlN,1,"realDonaldTrump, MooreSenate, FoxNews",3,,
Ashok Garekar,DrGarekar,127913,381,583,19061,False,False,India ,New Delhi,252962,MD(Medicine)from GRMC Gwalior (Private Practice)      https://t.co/5JQfkJP2CA https://t.co/NspZb7i9gE…,False,False,,2017-12-10 13:30:40,@realDonaldTrump will not be amused https://t.co/LmBG1KVN5L,,,Twitter Lite,realDonaldTrump,True,False,2,4,,0,https://t.co/LmBG1KVN5L,1,realDonaldTrump,1,,
Cheryl Mrusek,jackgrammy26,9,0,61,367,False,True,,,586,,False,False,939475127552618496,2017-12-10 13:30:39,"@realDonaldTrump People need jobs so thanks for hiring ""supporters""",,,Twitter for Android,realDonaldTrump,True,False,0,0,,0,,0,realDonaldTrump,1,,
Sandy H,sandykync,0,0,23,27,False,True,North Carolina,Quito,520,,False,False,939680422493073408,2017-12-10 13:30:39,@realDonaldTrump PLEASE go FUCK yourself you  Orange ugly  TOOTHLESS TOAD YOU are a HUGE FAILURE and a HUGE DICK Pl... https://t.co/EtxEblePMc,,,Twitter Web Client,realDonaldTrump,True,False,0,0,,0,https://t.co/EtxEblePMc,1,realDonaldTrump,1,,
Juliana Weldon,OneWokeWoman,4473,43,5001,7587,False,False,"Lancaster, PA",Eastern Time (US & Canada),49733,The desire to reach for the stars is ambitious. The desire to reach hearts is wise. Maya Angelou   #TheResistance #Alltrumpkinsblocked!!! #NOLISTS!,True,False,939680422493073408,2017-12-10 13:30:37,@realDonaldTrump Hey! #IAmTheResistance AND I will keep fighting your hate and fear filled propaganda until the day... https://t.co/za1l0pt54S,,,Twitter for Android,realDonaldTrump,True,False,0,0,IAmTheResistance,1,https://t.co/za1l0pt54S,1,realDonaldTrump,1,,
John,JohnLionfox,1,0,5,0,False,True,,,49,,False,False,,2017-12-10 13:30:36,@realDonaldTrump GRAB HER BY THE PUSSY! https://t.co/NcsmZBxAWw,,,Twitter for iPhone,realDonaldTrump,True,False,0,0,,0,,0,realDonaldTrump,1,photo,
B. Descott,MzNurseBee14,1012,17,1655,28979,False,False,In front of you,Eastern Time (US & Canada),44164,#DallasCowboys / 🏀🎾🥊🏌🏽‍♀️ / Soap Opera Addict / Avid Reader / Jazz & Neo Soul Junkie / Opinions mine.,False,False,,2017-12-10 13:30:36,@realDonaldTrump good morning! https://t.co/CfjFtK8P1p,,,Twitter for iPhone,realDonaldTrump,True,False,0,0,,0,https://t.co/CfjFtK8P1p,1,realDonaldTrump,1,,
ME Renz,ColoDem,154,3,338,9466,False,False,"Lakewood, CO",Mountain Time (US & Canada),3629,"Union proud retiree,
Bleeding heart liberal, Marcher,
Planned Parenthood volunteer,
Colorado loving,
Nasty Woman 😎
#nonazifollowers",True,False,939616077356642304,2017-12-10 13:30:35,@realDonaldTrump @daveweigel @washingtonpost Who knew you could find 2000 supporters in the south???,,,Twitter for Android,realDonaldTrump,True,False,0,0,,0,,0,"realDonaldTrump, daveweigel, washingtonpost",3,,
Mr E. Twit,4MrTwit,0,0,3,1,False,True,,,2,Semi-Political,False,False,939480342779580416,2017-12-10 13:30:34,@realDonaldTrump @CNN Mr. President how many times have you been caught red handed lying?  Do I have to remind you... https://t.co/jPzn9340HM,,,Twitter for iPhone,realDonaldTrump,True,False,0,0,,0,https://t.co/jPzn9340HM,1,"realDonaldTrump, CNN",2,,
Kelly taylor,Kellyta37474234,138,2,149,12335,False,True,,,8681,,False,False,939680422493073408,2017-12-10 13:30:34,@realDonaldTrump Oh stfu you  stupid  bigot  and you are  terrible  at doing  these  https://t.co/ojtHNSx63p fat ug... https://t.co/XCPPeJgXkQ,,,Twitter for Android,realDonaldTrump,True,False,0,0,,0,"https://t.co/ojtHNSx63p, https://t.co/XCPPeJgXkQ",2,realDonaldTrump,1,,
thatsmetrying,CAisWoke,4104,15,4300,51718,False,True,NC,Eastern Time (US & Canada),53258,"Civil Rights Crusader, #liberal❄, #ACA, #DACA, #BLM, #TakeAKnee, UNCAlum,Geek, #StarWars, ❤is❤, Snarky,Hot Cocoa  is worth a migraine, #resistance #FBR #MeToo",False,False,939642796289470464,2017-12-10 13:30:33,@realDonaldTrump Wow. You are so damn arrogant. You just made it all about you. Not once is it ever about anyone el... https://t.co/CwGYoAxmXW,,,Twitter for Android,realDonaldTrump,True,False,0,5,,0,https://t.co/CwGYoAxmXW,1,realDonaldTrump,1,,
larry white,lwhite1977,4,0,11,9,False,False,"Sammamish, WA",Pacific Time (US & Canada),306,,True,False,939680422493073408,2017-12-10 13:30:33,"@realDonaldTrump Washington D.C. has proven a sanctuary city for our sexual assaulting, criminally negligent, illeg... https://t.co/IyLw0y5VGQ",,,Twitter for iPhone,realDonaldTrump,True,False,0,0,,0,https://t.co/IyLw0y5VGQ,1,realDonaldTrump,1,,
Linda Brennan,LMBrennan15,13,0,25,899,False,True,,Pacific Time (US & Canada),522,,False,False,939634404267380736,2017-12-10 13:30:32,"@realDonaldTrump @daveweigel If all people who spread fake news could be fired, you wouldn't have a job.",,,Twitter for iPad,realDonaldTrump,True,False,0,0,,0,,0,"realDonaldTrump, daveweigel",2,,
Katniss Targaryean❄️🏹,KatTargaryean,126,0,229,16,False,False,Dragonstone,Eastern Time (US & Canada),2487,"Proud Resister, #Whovian from Gallifrey's District 13, graduate of Hogwarts, House Gryffindor, Honorary Jedi. Winter IS here. ❄️🏹",False,False,939680422493073408,2017-12-10 13:30:31,"@realDonaldTrump You do know that not all immigrants are violent criminals, right?  Oh, probably not - I don't thin... https://t.co/l77W0BCRXe",,,Twitter for iPhone,realDonaldTrump,True,False,0,0,,0,https://t.co/l77W0BCRXe,1,realDonaldTrump,1,,
Harry Engle,Hme619Engle,1,0,34,2,False,True,,,58,,False,False,939616077356642304,2017-12-10 13:30:30,"@realDonaldTrump @daveweigel @washingtonpost As someone that voted for you, how much time have you wasted addressin... https://t.co/lioP9fTYIn",,,Twitter for Android,realDonaldTrump,True,False,0,0,,0,https://t.co/lioP9fTYIn,1,"realDonaldTrump, daveweigel, washingtonpost",3,,
ctoman,thecat854,7,0,128,2495,False,True,,,1774,,False,False,939642796289470464,2017-12-10 13:30:30,"@realDonaldTrump You know that trophy doesn't belong to you, right? That's just what it's called.",,,Twitter Lite,realDonaldTrump,True,False,0,0,,0,,0,realDonaldTrump,1,,
Stu Goldstein,StuStuStu,86,2,125,311,False,False,"New York, New York",,201,,False,False,939616077356642304,2017-12-10 02:17:24,@realDonaldTrump @daveweigel @washingtonpost Jackass.,,,Twitter for iPhone,realDonaldTrump,True,False,0,1,,0,,0,"realDonaldTrump, daveweigel, washingtonpost",3,,
Rocael Ramos,rocaelramos,3,2,33,3,False,True,HONDURAS,,105,"SOY LIC EN INFORMATICA GRADUADO EN USA Y ME GUSTA LA MUSICA VIEJA DE LOS 60, 70 Y 80'S,CASADO CON 2 LINDAS HIJAS.",False,False,937314665176207360,2017-12-10 02:17:24,@realDonaldTrump Mr. President I very dissappointed recaude you do nos soporte te Hondurian people you preffer supp... https://t.co/DN0HEvRUQA,,,Twitter for Android,realDonaldTrump,True,False,0,0,,0,https://t.co/DN0HEvRUQA,1,realDonaldTrump,1,,
Adralyynvance,adralynnvance,9,0,49,18,False,True,,,69,,False,False,939485131693322240,2017-12-10 02:17:24,@realDonaldTrump Your presidency is a fraud on the American people.,,,Twitter for Android,realDonaldTrump,True,False,0,0,,0,,0,realDonaldTrump,1,,
"Randy k. ""covfefe""",randykjo,9595,15,10554,46545,False,True,,,51430,"Native of South Dakota,conservative, loves God,country,flag🇺🇸,Trump supporter,vets, law,military,MAGA,the common sensed!",False,False,936688444046266368,2017-12-10 02:17:23,@realDonaldTrump @remodamiani I don't believe anything unless it comes right from the source and thats you Presiden... https://t.co/mNIG27TDIk,,,Twitter for iPad,realDonaldTrump,True,False,1,4,,0,https://t.co/mNIG27TDIk,1,"realDonaldTrump, remodamiani",2,,
kim cook,kimcook49790981,1,0,9,32,False,True,,,120,,False,False,939485131693322240,2017-12-10 02:17:23,@realDonaldTrump Enough Trump. Intelligent people know journalists make mistakes. We also know Russia is not fake n... https://t.co/TT6dZLYnyP,,,Twitter for Android,realDonaldTrump,True,False,0,0,,0,https://t.co/TT6dZLYnyP,1,realDonaldTrump,1,,
Cwenthryth,JeanGr8grma,925,1,1426,8160,False,True,"Parkland, WA",,15354,"Retired Civil Servant, Crafter, Reader, 4 Human Liberty, 4 Equality and 4 Real Justice #TheResistance #Indivisible",False,False,939208571253862400,2017-12-10 02:17:23,@realDonaldTrump @SecretaryAcosta @USDOL RESIGN,,,Twitter Web Client,realDonaldTrump,True,False,0,1,,0,,0,"realDonaldTrump, SecretaryAcosta, USDOL",3,,
Linda Boyd-Dickson,adnildyob,3096,118,3122,98174,False,False,"Orange County, CA",Pacific Time (US & Canada),117810,"Artist. Mom of two talented artists. Provider. Comforter. Better-Half. MSU Alumni #GoGreen...and other stuff, too. #UniteBlue Resist, Persist    Stay Positive",False,False,,2017-12-10 02:17:22,@realDonaldTrump is a disgrace! https://t.co/s0vReP5k22,,,Twitter for iPad,realDonaldTrump,True,False,0,0,,0,https://t.co/s0vReP5k22,1,realDonaldTrump,1,,
Lauren C.,LaurenNet,102,18,461,986,False,False,Texas,Pacific Time (US & Canada),2303,,False,False,938861758038577152,2017-12-10 02:17:22,"@realDonaldTrump @WhiteHouse Which you called ""a wild scene."" Resign.",,,Twitter for iPad,realDonaldTrump,True,False,0,0,,0,,0,"realDonaldTrump, WhiteHouse",2,,
Julio,Julio515029,1,0,53,95,False,True,,,31,,False,False,939616077356642304,2017-12-10 02:17:21,@realDonaldTrump @daveweigel @washingtonpost  https://t.co/7rjlMyBvcB,,,Twitter for iPhone,realDonaldTrump,True,False,0,0,,0,,0,"realDonaldTrump, daveweigel, washingtonpost",3,photo,
Howard Wasserman,Howard4651,3,0,57,1,False,True,,,28,,False,False,939475127552618496,2017-12-10 02:17:21,"@realDonaldTrump So let's campaign for Moore, who said times were great during days of slavery. Your Next stop was... https://t.co/ZYBVa1FT9y",,,Twitter for iPhone,realDonaldTrump,True,False,0,0,,0,https://t.co/ZYBVa1FT9y,1,realDonaldTrump,1,,
Mark evans,Markeva81359796,26,0,47,2177,False,True,"Sunrise, FL",,1960,,False,False,939485131693322240,2017-12-10 02:17:19,@realDonaldTrump You lie and make false statements on a daily basis you have know right calling out cnn or anybody... https://t.co/CYTKNAo7WH,,,Twitter for iPhone,realDonaldTrump,True,False,0,0,,0,https://t.co/CYTKNAo7WH,1,realDonaldTrump,1,,
the snit,shamrico,42,5,220,119,False,True,,Pacific Time (US & Canada),652,,False,False,939485131693322240,2017-12-10 02:17:19,@realDonaldTrump Spoken like a true authoritarian.,,,Twitter Web Client,realDonaldTrump,True,False,0,0,,0,,0,realDonaldTrump,1,,
Firemoose24,Firemoose24,21,1,26,175,False,True,Virginia,,1804,,False,False,939634404267380736,2017-12-10 02:17:19,@realDonaldTrump @daveweigel I wish we had a president that was for EVERYONE and not just for his supporters.   Chi... https://t.co/Y8pjBKP57k,,,Twitter for iPad,realDonaldTrump,True,False,0,0,,0,https://t.co/Y8pjBKP57k,1,"realDonaldTrump, daveweigel",2,,
Dennis Spencer,dennisspencer09,275,9,1191,246,False,False,Halifax ,Eastern Time (US & Canada),6114,The choice of the next generation,True,False,939642796289470464,2017-12-10 02:17:19,@realDonaldTrump Fuck you,,,Twitter for iPhone,realDonaldTrump,True,False,0,0,,0,,0,realDonaldTrump,1,,
Springflies,riyantindr,7,0,24,17,False,True,"Kota Makassar, Sulawesi Selata",,35,Student of Agriculture🌱 || University of Hasanuddin,False,False,939006911629869056,2017-12-10 02:17:18,@realDonaldTrump You have lost your humanity,,,Twitter for Android,realDonaldTrump,True,False,0,0,,0,,0,realDonaldTrump,1,,
Jason Borza,Borzak21,16,0,67,487,False,True,"Ohio, USA",,248,"The child has grown, the dream is gone.",False,False,939560154269405184,2017-12-10 02:17:18,@realDonaldTrump Jesus you are such a piece of shit.,,,Twitter for iPhone,realDonaldTrump,True,False,0,0,,0,,0,realDonaldTrump,1,,
Degraz,dgraz007,1094,55,2420,6523,False,False,MY HOUSE ON MY HILL,,63103,HERE TO RESIST the man with the tiny hands!,False,False,939634404267380736,2017-12-10 02:17:18,"@realDonaldTrump @daveweigel damn, this is like some weird slap stick dark-comedy. No one in the entire world, lies as often as you do.",,,Twitter Web Client,realDonaldTrump,True,False,0,0,,0,,0,"realDonaldTrump, daveweigel",2,,
Anne Kadamani,annekadamani,56,0,230,336,False,True,"New York, NY",Eastern Time (US & Canada),74,,False,False,939634404267380736,2017-12-10 02:17:18,@realDonaldTrump @daveweigel Quit your complaining! You sound like a child!!!,,,Twitter for iPhone,realDonaldTrump,True,False,0,0,,0,,0,"realDonaldTrump, daveweigel",2,,
Lorrie 🦅,HerzogLorrie,26,1,92,2799,False,True,United States,,5238,"I love my family, animals, politics and gardening.",True,False,939642796289470464,2017-12-10 02:17:17,"@realDonaldTrump Hey Denture Don, which golf course are our tax dollars going to be wasted on tomorrow??????? SICK &amp; SAD!",,,Twitter for iPad,realDonaldTrump,True,False,0,0,,0,,0,realDonaldTrump,1,,
anne broe,annebtoo1,0,0,22,0,False,True,,,97,,False,False,,2017-12-10 02:17:17,@realDonaldTrump u do what u do constantly which is opening ur ignorant mouth. I know that i speak for a majority w... https://t.co/cCgTy7jpl9,,,Twitter Web Client,realDonaldTrump,True,False,0,0,,0,https://t.co/cCgTy7jpl9,1,realDonaldTrump,1,,
kim hawkins,02_hawkins,53,0,154,2581,False,True,,,5724,,True,False,939480342779580416,2017-12-09 23:47:54,@realDonaldTrump @CNN Fake news and your a fake Ass President that a trader to our nation who was brought buy the R... https://t.co/EJwJ93jwIa,,,Twitter for Android,realDonaldTrump,True,False,0,0,,0,https://t.co/EJwJ93jwIa,1,"realDonaldTrump, CNN",2,,
Kathryn Cusi,KathrynCusi,34,0,218,5780,False,True,,Eastern Time (US & Canada),210,,False,False,939634404267380736,2017-12-09 23:47:54,@realDonaldTrump @daveweigel You want to fire anyone who disagress with you.,,,Twitter for Android,realDonaldTrump,True,False,0,0,,0,,0,"realDonaldTrump, daveweigel",2,,
bella ray,bellara10517080,3,0,14,6,False,True,,,13,,False,False,939634404267380736,2017-12-09 23:47:54,"@realDonaldTrump @daveweigel No, you are fired!!!!!!!",,,Twitter for iPhone,realDonaldTrump,True,False,0,0,,0,,0,"realDonaldTrump, daveweigel",2,,
Johnny Cakes,JohnnyC32704338,6,0,131,8,False,True,,,2514,,True,False,939560154269405184,2017-12-09 23:47:54,@realDonaldTrump My great honor??? Really ??  What a freakin Liar! !,,,Twitter for Android,realDonaldTrump,True,False,0,0,,0,,0,realDonaldTrump,1,,
(((Balth Bartram))),balthsbart,2200,99,1015,36085,False,True,"Nevernever Land, PA",,67733,,False,False,939560154269405184,2017-12-09 23:47:54,@realDonaldTrump #TrumpIsARacist https://t.co/x1TmSn6tnP,,,Twitter for iPad,realDonaldTrump,True,False,0,1,TrumpIsARacist,1,,0,realDonaldTrump,1,photo,
StevieCoyle,StevieCoyle,786,43,715,1234,False,False,"Marin County, CA",Pacific Time (US & Canada),2510,"Fingerstyle guitarist, songwriter, bon vivant, International Man Of Mystery, former frontman of The Waybacks and owner of @MightyFineGtrs in Lafayette, CA.",True,False,939120304542101505,2017-12-09 23:47:54,"@realDonaldTrump Less speechifying, please, and more presidenting.",,,Twitter for iPad,realDonaldTrump,True,False,0,1,,0,,0,realDonaldTrump,1,,
Brian Sweet,SweetINXS,158,0,240,11188,False,True,"West Chester, PA",Eastern Time (US & Canada),5913,"Fiscally conservative, socially liberal, card-carrying ACLU member. America was already great.",True,False,939375570919612416,2017-12-09 23:47:53,@realDonaldTrump Which god?,,,Twitter Web Client,realDonaldTrump,True,False,0,2,,0,,0,realDonaldTrump,1,,
Tiffany Clifton,Tiffany42259850,1,0,3,29,False,True,,,17,,False,False,939634404267380736,2017-12-09 23:47:53,@realDonaldTrump @daveweigel People who have to hide things like that are burning from the inside out,,,Twitter for iPhone,realDonaldTrump,True,False,0,1,,0,,0,"realDonaldTrump, daveweigel",2,,
Diamond Girl01,DiamondGirlReal,8,0,254,691,False,True,,,155,,False,False,939006911629869056,2017-12-09 23:47:53,@realDonaldTrump You just love seeing obama don't you,,,Twitter for Android,realDonaldTrump,True,False,0,0,,0,,0,realDonaldTrump,1,,
Lynn Skolnick,LynnSkolnick1,3,0,23,109,False,True,,,389,,False,False,939477807813595136,2017-12-09 23:47:52,"@realDonaldTrump We can't have a criminal in the white house, but we do. You want power so much, you'd sell your so... https://t.co/qV85K5QVXn",,,Twitter for iPad,realDonaldTrump,True,False,0,0,,0,https://t.co/qV85K5QVXn,1,realDonaldTrump,1,,
Bottom Chicken,bottom_chicken,64,0,173,62,False,False,cage,,747,bottom chicken🐓,False,False,939355447273906182,2017-12-09 23:47:52,@realDonaldTrump I was at that rally ! Those pics are fake news buddy ! Why keep lying ? The American people are sm... https://t.co/ibTo4l0GmX,,,Twitter for iPhone,realDonaldTrump,True,False,0,0,,0,https://t.co/ibTo4l0GmX,1,realDonaldTrump,1,,
Michelle Dudek,Projectbrows,77,0,119,6661,False,True,,,3676,,False,False,939616077356642304,2017-12-09 23:47:52,@realDonaldTrump @daveweigel @washingtonpost IMPEACH THIS FAKE TREASONOUS PRESIDENT AND HIS CLAN,,,Twitter for iPhone,realDonaldTrump,True,False,0,0,,0,,0,"realDonaldTrump, daveweigel, washingtonpost",3,,
