,tweet,classification
36,@realDonaldTrump @daveweigel https://t.co/I9EBM6XxbS,0
37,@realDonaldTrump @daveweigel You should be fired for your constant misperception of truth and righteousness. You lied your way into office.,-1
38,@realDonaldTrump @daveweigel @washingtonpost The photo was not phony. When will you stop lying?,-1
39,@realDonaldTrump @daveweigel @washingtonpost It was just symbolic of the total brainpower of your supporters.,0
40,"@realDonaldTrump @daveweigel @washingtonpost GEEZ you just gotta stick everybody don't ya,,,over the most stupidest... https://t.co/HISqXDOO0h",-1
41,@realDonaldTrump @daveweigel @washingtonpost YOU APOLOGIZE TO AMERICA FOR YOUR FAKE PRESIDENCY&gt;&gt;&gt;YOU LOST THE POPUL... https://t.co/NwsNshcktl,-1
42,"@realDonaldTrump @daveweigel @washingtonpost It's a real legitimate photo, it was just taken earlier.  No apology r... https://t.co/TSD19QMHeL",0
43,@realDonaldTrump @daveweigel @washingtonpost That photo was from your inauguration dummy...haha,-1
44,@realDonaldTrump @daveweigel @washingtonpost The left had trouble filling a basketball court.... why is this even a issue.,0
45,@realDonaldTrump @daveweigel @washingtonpost You're in the photo.,0
46,"@realDonaldTrump @daveweigel @washingtonpost Yawn. Boring. So, it was before your packed arena...#SnowflakeInChief",0
47,@realDonaldTrump @daveweigel @washingtonpost THIS is what you're concerned with??? For fucks sake. #ComeBackBarack,-1
48,@realDonaldTrump @daveweigel @washingtonpost  https://t.co/KIlXEabyL1,0
49,@realDonaldTrump @daveweigel @washingtonpost maybe if these people would get fired things would change 'FAKE' news WaPo,0
50,@realDonaldTrump @daveweigel @washingtonpost SO CHILDISH MR PRESIDENT YOU WORRY ABT TH WRONG THING.IF I WS TH ONLY... https://t.co/HUXFJZIk6k,-1
51,@realDonaldTrump @daveweigel @washingtonpost the fake president needs to get a life. Sad!,-1
52,@realDonaldTrump @Stump4TrumpPAC @daveweigel @washingtonpost Lugenpresse,0
53,"@realDonaldTrump @daveweigel @washingtonpost As the president of the USA, why is your ego so fragile that you get s... https://t.co/8Phbdp3s7p",-1
54,@realDonaldTrump @daveweigel @washingtonpost You apologize for all of your lies you prick,-1
55,@realDonaldTrump @daveweigel @washingtonpost You're worried about size more than any man I've ever heard of in my l... https://t.co/mqNqFUWh18,-1
56,@realDonaldTrump @daveweigel @washingtonpost You mad bro? @realDonaldTrump,-1
57,@realDonaldTrump @USArmy @USNavy TOO BAD YOU ARE A CHICKEN WITH YOUR FAKE BONE SPURS...TOO SCARED TO GO TO VIET NAM... https://t.co/SFQ8caYfab,-1
58,"@realDonaldTrump @USArmy @USNavy now you support the troops 
make up yo damn mind ",-1
59,"@realDonaldTrump @USArmy @USNavy RE our military, Our Unelected ""Commander-In-Chief"" dodged the draft, bellyached t... https://t.co/kB4SDNaxGc",-1
60,@realDonaldTrump @USArmy @USNavy Colin Kaepernick Is Recipient of 2017 Sports Illustrated Muhammad Ali Legacy Award... https://t.co/JpybvDFdGH,0
61,"@realDonaldTrump @USArmy @USNavy We love you too Mr President
#military https://t.co/LyZkDRGleK",1
62,@realDonaldTrump @USArmy @USNavy  https://t.co/HRQInhjlJZ,0
63,@realDonaldTrump @USArmy @USNavy Why weren't you attending? Mara Lago more important?,-1
64,"@realDonaldTrump @USArmy @USNavy Most military members, especially officers,  despise you. They just aren't allowed to say it. #Trump",-1
65,@realDonaldTrump @USArmy @USNavy Love make you blind. https://t.co/RqZg15qaTi,0
66,@realDonaldTrump @USArmy @USNavy you were chicken,-1
67,@realDonaldTrump @USArmy @USNavy Gotta make sure you get that 8 hours of tv time in. Who runs the country when you're screwing off?,-1
68,"@realDonaldTrump @USArmy @USNavy Mr. President, don't you ever stop tweeting. Socialists would lost their target -... https://t.co/oAxv0NFp2V",0
69,@realDonaldTrump @USArmy @USNavy What's your current golf handicap or are you watching TV all day today? How many Diet Cokes?,-1
70,@realDonaldTrump @USArmy @USNavy Prayers and love for all our military.,1
71,@realDonaldTrump @USArmy @USNavy Be afraid  very afraid,-1
72,"@realDonaldTrump @USArmy @USNavy Now there are two words you'll never fully embrace - ""sacrifice and service.""  Vie... https://t.co/5WUKDNwlml",-1
73,@realDonaldTrump @USArmy @USNavy  https://t.co/DGgQHmCN6i,0
74,@realDonaldTrump @USArmy @USNavy Princess Bonespur pls https://t.co/AEfO4KFidP,0
75,@realDonaldTrump @USArmy @USNavy You do know a big portion of our military doesnt really like you right? Oh wait le... https://t.co/MhbdttX1h5,-1
76,@realDonaldTrump Everyone hates u d**khead!,-1
77,@realDonaldTrump  https://t.co/abIBR6WLcU,0
78,@realDonaldTrump Yes and got a slap on Thur vile face by leading civil rights leaders! You are a disgrace to civil... https://t.co/GQgTFNzN8l,-1
79,@realDonaldTrump  https://t.co/sas3iRfSZ7,0
80,@realDonaldTrump Of course a disgrace and disaster having you there. So disrespectful to Medgar Evers' wife.,-1
81,"@realDonaldTrump Yeah well, maybe that was an honor you didn't deserve. https://t.co/C7hyUehFI0",-1
82,@realDonaldTrump You are such a fucking fake you don't give a damn about the civil rights movement you wasn't wanted there you fucking bigot,-1
83,@realDonaldTrump #thoughtsandprayers,0
84,@realDonaldTrump @dagenais Did you use super-glue this time?,0
85,"@realDonaldTrump Funny thing is I heard you say the government would be tied up with investigation of Clinton's for years 
REALLY !",0
86,@realDonaldTrump Right @Banfiike,0
87,@realDonaldTrump Lol,0
88,@realDonaldTrump hello big boss,-1
89,@realDonaldTrump @POTUS  https://t.co/5WjJbMGbZp,0
90,@realDonaldTrump You are an idiot.  Ppl who have not been brainwashed know you are a liar. You don't give two shits... https://t.co/GZB0fre1lz,-1
91,"@realDonaldTrump It was more believable when you just talked off the cuff, and were the true asshole you are.",-1
92,"@realDonaldTrump I'm proud of you,Mr President. I have through a great of presidents and you sir are one of the best. Thank you",1
93,@realDonaldTrump #bigotinchief,-1
94,@realDonaldTrump @PressSec Stop y did you show up you wasn't welcome. You can't change over night. That hate is emb... https://t.co/NWb3kopoTD,0
95,@realDonaldTrump @PhilBryantMS IS THIS REAL OR FAKE? I HOPE ITS REAL BECAUSE I'VE NEVER HEARD HIM EVEN SPEAK ABT GR... https://t.co/RyMxkZaC3D,0
96,@realDonaldTrump @PhilBryantMS  https://t.co/imD9Ap3Z48,0
97,@realDonaldTrump @PhilBryantMS Why? So you can piss on em?,-1
98,@realDonaldTrump @PhilBryantMS Get LOST!,-1
99,@realDonaldTrump @PhilBryantMS If only you worked toward Civil Rights instead of defending White Supremacists and R... https://t.co/TplEeU6L4W,-1
100,@realDonaldTrump @POTUS @PhilBryantMS Why? So you can defund it and erect something more your style? How about anot... https://t.co/j6RrvliNUs,-1
101,@realDonaldTrump @PhilBryantMS To bad you didn't take the time to actually tour it and learn from it.,-1
102,@realDonaldTrump @PhilBryantMS In Mississippi they like em 15,-1
103,@realDonaldTrump @BethanyJuno @PhilBryantMS President Trump open first new Coal Mine in decades and Pennsylvania loves him for this.,0
104,@realDonaldTrump @PhilBryantMS You belong in the Racist section.,-1
105,@realDonaldTrump @PhilBryantMS I notice you're staying below the Mason-Dixon Line for all of these events. I wonder why...?,-1
106,"@realDonaldTrump @PhilBryantMS You are out of your mind, #Trump. The streets were empty. No one bothered to come ou... https://t.co/TN8jTbXkda",-1
107,@realDonaldTrump @PhilBryantMS You are not welcome by anybody bit the gov. You're an insult to the protectors of ci... https://t.co/NZEGkf3sY5,-1
108,@realDonaldTrump @PhilBryantMS Most politicians are not respected due to there own faults and you are no exception https://t.co/PflPF2u7Ng,-1
109,@realDonaldTrump @PhilBryantMS Shameful. Remember your settlement with the DoJ for discrimination?,0
110,@realDonaldTrump @PhilBryantMS We finna vote Phil out don't you worry Donnie,0
111,@realDonaldTrump @PhilBryantMS Central Park 5!,1
112,@realDonaldTrump @PhilBryantMS You know so little about the United States.  Statistic show that the state is one of... https://t.co/vLSnndjNIl,-1
113,@realDonaldTrump @PhilBryantMS Go eat some more McDonald's.,-1
114,@realDonaldTrump Fox the most untrusted name in news,-1
115,@realDonaldTrump @realDonaldTrump The least trusted president of the us,-1
116,@realDonaldTrump #iknowyouarebutwhatami,0
117,@realDonaldTrump Stop tweeting this nonsense and DO YOUR JOB!,-1
118,@realDonaldTrump Take a look at yourself in the mirror before you call others fake.,-1
119,@realDonaldTrump #FakeNewsTrump. Lock the crook up.,-1
120,"@realDonaldTrump Sorry, that honor belongs to Fox News",0
121,@realDonaldTrump Fag,-1
122,"@realDonaldTrump Actually CNN is known amongst most conservative and educated folks as the ""Communist News Network.""",0
123,@realDonaldTrump Blow me c'mon and blow me bend over and show me all your love life could be so neat if you're suck... https://t.co/213U5oSgLA,0
124,@realDonaldTrump And your name should be dipshit. Sucks to have people going around without names that really fit them.,-1
125,@realDonaldTrump Have you been watching to much @NBCBlacklist ??? Maybe @Red_JamesSpader can help? @AmirArison... https://t.co/zdhDG9zDdP,-1
126,@realDonaldTrump And you are the least trusted President ever.  #FakePresident  SOOOOO  FUBAR!,-1
127,"@realDonaldTrump You are a fraud, Dildo Donnie.  A false prophet preying on a weak minded, cowardly flock.  #donthecon",-1
128,@realDonaldTrump 32% Donnie boy. Worst approval rating since forever.,-1
129,"@realDonaldTrump You are the number one outlet for fake news, you fucking lying fascist propagandist piece of shit.",-1
130,@realDonaldTrump Shouldn't you be doing something besides tweeting all night?,-1
131,"@realDonaldTrump Wtf, is this a tweet for twelve year olds?",-1
132,@realDonaldTrump You wouldn't know real news if it bit you in the butt,-1
133,@realDonaldTrump @POTUS @CNN Can we just immediately fire you instead?,-1
134,"@realDonaldTrump @CNN the only mistake the American people have made, is you, I am so ashamed of our country, being... https://t.co/PNcl4K2WGh",-1
135,@realDonaldTrump @CNN F U LIAR!!!,-1
136,@realDonaldTrump @CNN You should be fired for everyone of your mistakes. FOOL,-1
137,@realDonaldTrump @CNN Where is your scolding of Fox News for their Fake news that they had to retract?,-1
138,@realDonaldTrump @CNN lqds flsTynyh https://t.co/aNPPsYWxw8,0
139,@realDonaldTrump @WarriorforKids @CNN Both.,0
140,@realDonaldTrump @CNN Desired being satirical if you know what that word means,-1
141,"@realDonaldTrump It's funny how you feel you have a platform to talk about ""gross incompetence"" #adultdaycarecenter... https://t.co/btDozMhsvs",-1
142,@realDonaldTrump @CNN Watch last week's South Park?  Town Sheriff's speech and his Fox trap was the best satire on... https://t.co/7Lhi38GwUm,0
143,"@realDonaldTrump @CNN see video of tRump saying he ""NEVER APOLOGIZES"", he said this right after the pussy grabbing video showed up.",0
144,"@realDonaldTrump @CNN Like you when you were begging your father for money, Jamaica
  Savings Bank had something to... https://t.co/eiXaJIRW59",0
145,"@realDonaldTrump @CNN Lol #FauxNews, InfoWars, Breitbart + The National Enquirer https://t.co/FCLzUyPtSx",-1
146,@realDonaldTrump @keithfowler08 @CNN  https://t.co/wWL5vmapUY,0
147,@realDonaldTrump @POTUS @CNN tweeting this from your private account is inappropriate. Retweeting from the @POTUS a... https://t.co/bQ5hdNy27X,-1
148,@realDonaldTrump @CNN Gross Insecurity on the part of TRUMP!,-1
149,@realDonaldTrump @CNN Watch CNN make nothing of being caught red handed they will divert thier ineptitude by pickin... https://t.co/K6CFzFz344,-1
150,@realDonaldTrump @overhead440 @CNN Eliminate their FCC licenses to broadcast. We don't need this CRAP on the airwaves any more.,0
151,@realDonaldTrump @CNN Your gross INCOMPETENCE cannot be matched! YOU are mooching of the tax payer money and spend... https://t.co/4frD2qusW9,-1
152,@realDonaldTrump Blame dems for your demise. You deserved to be 47. I feel sorry for it's citizens. Yet you suppose... https://t.co/G0vSHFIwQ6,0
153,@realDonaldTrump Alabama is the 47th State in poverty and poor services. Number 47th. Almost dead last. It has been... https://t.co/X9UpIxs4DZ,0
154,"@realDonaldTrump GOP= Gang of Pedophiles. Has quite the ring, doesn't it?",-1
155,"@realDonaldTrump Time to resign. If the door is too narrow, suck in your gut and walk sideways. Don't ever come back. #loser",-1
156,@realDonaldTrump What is wrong with you? Truly. What is wrong with you?,-1
157,@realDonaldTrump BS. You're demented. Disgusting.,-1
158,"@realDonaldTrump Every person of color, every woman, and every young person should get out, vote, and stomp the shi... https://t.co/ZkU21JCv7C",-1
159,@realDonaldTrump  https://t.co/eyDnpp3JNA,0
160,@realDonaldTrump You dick,-1
161,@realDonaldTrump Says one molester to another.  You're both embarrassments to this country and neither of you should be in office. EVER.,-1
162,"@realDonaldTrump Who cares if Ray Moore's a letch?
We do!!! Morals shouldn't stretch
Alabama, this sure smells
We T... https://t.co/wegKjSTaCG",-1
163,@realDonaldTrump @realDonaldTrump but you'll have a pedophile fill a senate seat.,-1
164,@realDonaldTrump But he hasn't molested children you sick sunrise gold sad sack. So there's that.,-1
165,"@realDonaldTrump I sure hope you weren't in any proximity to schools. Hopefully, the children were evacuated before... https://t.co/RlEe8DYxkk",-1
166,"@realDonaldTrump nothing ur abouise nes, all we r one",0
167,"@realDonaldTrump Sexual predators , one and all who support him.  That's includes you Donald J tRump.  Perverted pu... https://t.co/mZIdhMMJS7",-1
168,"@realDonaldTrump We know, we know. We get it. You support child molesters #croMAGAnon",-1
169,@realDonaldTrump I hope its not up to pedophiles to make our country great sir,-1
170,@realDonaldTrump  https://t.co/mmqvGTDCsV,0
171,@realDonaldTrump Liar.,-1
172,@realDonaldTrump As California burns to the ground.  You're a useless sack of crap. Piece of garbage. No idea what... https://t.co/xJOtU3rpB3,-1
173,"@realDonaldTrump @royw07 PLEASE HELP US WITH THE EROSION OF OUR SOCIAL SECURITY CHECKS. WE PUT IN ALL THOSE YEARS.
THANK YOU MR  PRESIDENT.",0
174,"@realDonaldTrump Florida, America's trailer park.",0
175,@realDonaldTrump Really smart.......thats funny.,0
176,@realDonaldTrump  https://t.co/69gbI4fw94,0
177,"@realDonaldTrump great speech on friday.  keep up the good work, mr president.",1
178,"@realDonaldTrump
u r a idiot president for usa,, we hate u because ur declaration,,,,,,",-1
179,@realDonaldTrump I am@sure all your White Supremacist and KKK supporters turned out in force! You like it when thes... https://t.co/xQfm1OWdlN,-1
180,@realDonaldTrump #thoughtsandprayers,1
181,@realDonaldTrump Yes...you and the RNC have fully backed a child molester who stands against everything that Civil... https://t.co/B44vqFlWVY,-1
182,@realDonaldTrump I came to see the faces or people who voted to raise their own taxes to give to their rich owners!,0
183,@realDonaldTrump  https://t.co/pNa8g4Du2d,0
184,@realDonaldTrump Really smart? Who the fuck says that about a crowd! Really smart from #DumbassInChief,-1
185,@realDonaldTrump Your awesome Mr President Trump,1
186,@realDonaldTrump How can you tell when a crowd is smart?,0
187,"@realDonaldTrump Packed to the rafters? So, press was not allowed in?",-1
188,@realDonaldTrump Didnt know you could pack sheep that tight.,-1
189,@realDonaldTrump BIG QUESTION: 1) What was the purpose of the Lord Trump Pedophilia Rally? 2) Did Lord Trump's Pedo... https://t.co/lw176APHJc,-1
190,@realDonaldTrump I believe that mandatory patriotism is fascism.,-1
191,@realDonaldTrump You're taking about flag right?... #ImpeachTrumpNow,-1
192,@realDonaldTrump I believe in the First Amendment. I believe our government AT ALL LEVELS should act with such inte... https://t.co/4ATLcqwxTm,0
193,"@realDonaldTrump Stand for the anthem, but elect pedophiles to Congress. No thanks, I will pass.",-1
194,"@realDonaldTrump We also believe every American should have access to decent health care, but I don't hear you saying anything about that.",-1
195,"@realDonaldTrump Yeah, well, God told me that you're an evil con man, a lousy deal maker and sexual abuser. He also... https://t.co/EKatRR4WpS",-1
196,@realDonaldTrump @blondenfun1 You people are all fools ! This chimp works for the same people @HillaryClinton and... https://t.co/xykWFXvPaa,-1
197,@realDonaldTrump @blondenfun1 Your constitution says every American has a choice,0
198,@realDonaldTrump But we don't pledge allegiance to you! So we'll #TakeAKnee if we wish to redress a grievance as is... https://t.co/0ne2y0bSyt,-1
199,"@realDonaldTrump JUST REMEMBER ""ONE NATION UNDER GOD"" WASNT ADDED TO THE PLEDGE UNTIL THE COLD WAR DURING THE RED S... https://t.co/jP47JjleW2",-1
200,"@realDonaldTrump I believe @POTUS shouldn't be a liar, traitor, racist, and commit treason. I believe @POTUS should... https://t.co/BktWoBhyX8",-1
201,@realDonaldTrump FREEDOM OF RELIGION BITCH HAIL ALLAH,-1
202,@realDonaldTrump Screw you and your fake patriotism and your fake christianity. I will NOT pledge allegiance to a p... https://t.co/LzXtATDX2x,-1
203,@realDonaldTrump Many of us believe that we are free to choose whether to stand for the anthem.  It's in the CONSTITUTION!,-1
204,@realDonaldTrump Take funding away from NFL. WHY do they get $$$anyway???,0
205,"@realDonaldTrump INSTEAD of pledge alliance to prove you are a PATRIOT, it would be REALLY PATRIOTIC NOT TO COLLUDE... https://t.co/BbUiKdFZAD",-1
206,"@realDonaldTrump All your talk about GOD and how you read the bible. Yet, you can not ever quote anything from the... https://t.co/Uvf6uDN26P",-1
207,@realDonaldTrump Do you believe cops should kill innocent people who haven't been proven guilty too. Do you know wh... https://t.co/ZZteeoCtvZ,0
208,"@realDonaldTrump Believe what you want, but you can't MAKE anyone stand or pledge anything.  That's some other coun... https://t.co/TLFGxtkpZQ",0
209,"@realDonaldTrump There's no war on Christmas, you fucking moron.",-1
210,@realDonaldTrump Merry Christmas! I hope Santa brings me an impeached Trump for Christmas!,-1
211,@realDonaldTrump We know this is our land &amp; we hv spoken. You can either step down sir or we will have you removed. Did u hear  us ths time?,-1
212,"@realDonaldTrump Unless you're an NFL player...then it's shut up, stand up or else!",-1
213,@realDonaldTrump @jeepsuzih2 Merry Christmas!!,1
214,"@realDonaldTrump Trump:""This is your home, and it's your voice that matters the most. So speak up, be heard, and fi... https://t.co/0cH08x0Mbc",1
215,@realDonaldTrump see my friends get gangnam a style named...  Co authored by me for who?  Who?,0
216,@realDonaldTrump Trumps the devil,-1
217,@realDonaldTrump Nope. Was American Indian Land,-1
218,"@realDonaldTrump Inciting the crowd again. I sure as hell haven't been waiting for the rich to get richer, CHIP for... https://t.co/ShEoP79SyM",-1
219,"@realDonaldTrump Dear #LordDampnut
Please improve our government?
Resign?
Thank you.
Buh bye,",-1
220,@realDonaldTrump I hung people I'm the 1800s.  I'm left w arrow in my back.  You! $x/,0
221,@realDonaldTrump My birthday is on Christmas. I love it. It's my jam. Jesus and Santa are my homeboys. I don't care... https://t.co/weKPOYyruT,0
222,@realDonaldTrump FREEDOM OF RELIGION HAIL ALLAH,-1
223,"@realDonaldTrump That is Palestine land, that is their home, and it's their voice that matters the most - not Zionis.",0
224,@realDonaldTrump I am fighting my HOA now. They want me to remove all my birdhouses from front yard. Wish u could help me.,1
225,@realDonaldTrump ????? What?,0
226,"@realDonaldTrump Oh wow... what inspiring words. Yes this is my land, my home and my voice.  Sooooo the change I've... https://t.co/Jt9pMvkIDR",-1
227,@realDonaldTrump Why is it that you pick the most insignificant subjects to get a woody over. The world is explodin... https://t.co/vsL603ge11,-1
228,"@realDonaldTrump @FoxNews What? You mean the same Fox News you used to criticize? 
https://t.co/PLP9oHC0AV",-1
229,"@realDonaldTrump @FoxNews ,,, and some of them are very good people. Heil! The party that supports and promotes chi... https://t.co/xMNq3UOgGE",-1
230,"@realDonaldTrump @FoxNews watched you on WKRG (mobile); they showed your arrival, and then the rally, live...   (it... https://t.co/uzcFiBnAXK",0
231,"@realDonaldTrump As a Christian I prefer the original pledge, not the 1954 version, donnie boy . . .",-1
232,@realDonaldTrump If this is God... then I'm on board... https://t.co/alhxsXYyZy,0
233,@realDonaldTrump Why capitalise 'nation under God? You say that like we don't have seperation of church and state.,0
234,@realDonaldTrump Some of us believe we served our country in order to protect the rights of Americans to exercise t... https://t.co/rjb82uxNLo,0
235,"@realDonaldTrump Few weeks back during interview, you didn't stand for the national anthem",-1
236,@realDonaldTrump If there was a god you definitely wouldnt be in charge,-1
237,@realDonaldTrump I believe that mandatory patriotism is fascism.,-1
238,@realDonaldTrump You're taking about flag right?... #ImpeachTrumpNow,-1
239,@realDonaldTrump I believe in the First Amendment. I believe our government AT ALL LEVELS should act with such inte... https://t.co/4ATLcqwxTm,0
240,"@realDonaldTrump Stand for the anthem, but elect pedophiles to Congress. No thanks, I will pass.",-1
241,"@realDonaldTrump We also believe every American should have access to decent health care, but I don't hear you saying anything about that.",-1
242,"@realDonaldTrump Yeah, well, God told me that you're an evil con man, a lousy deal maker and sexual abuser. He also... https://t.co/EKatRR4WpS",-1
243,@realDonaldTrump @blondenfun1 You people are all fools ! This chimp works for the same people @HillaryClinton and... https://t.co/xykWFXvPaa,-1
244,@realDonaldTrump @blondenfun1 Your constitution says every American has a choice,-1
245,@realDonaldTrump But we don't pledge allegiance to you! So we'll #TakeAKnee if we wish to redress a grievance as is... https://t.co/0ne2y0bSyt,-1
246,"@realDonaldTrump JUST REMEMBER ""ONE NATION UNDER GOD"" WASNT ADDED TO THE PLEDGE UNTIL THE COLD WAR DURING THE RED S... https://t.co/jP47JjleW2",-1
247,"@realDonaldTrump I believe @POTUS shouldn't be a liar, traitor, racist, and commit treason. I believe @POTUS should... https://t.co/BktWoBhyX8",-1
248,@realDonaldTrump FREEDOM OF RELIGION BITCH HAIL ALLAH,-1
249,@realDonaldTrump Screw you and your fake patriotism and your fake christianity. I will NOT pledge allegiance to a p... https://t.co/LzXtATDX2x,-1
